Unique Signature,Number of downloads,Price,Total,Savings
00PCLNAME AHOLD FILED 09/01/2014 TO 09/16/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL12-1152 SEVENTH CIRCUIT  PAGE: 1APPELLATE CASE SEARCH,1,$0.10,$0.10,$0
00PCL0:14-CV-61166 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 06/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME STOP FILED 06/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
"00PCLNAME YOUNG,  SYLVIA MARYLAND  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME CACI FILED 09/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGII FILED 09/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 09/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 09/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 09/01/2014 TO 09/19/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-61166 FLORIDA  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL14-00979 PENNSYLVANIA  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
"00PCLNAME JOHNSON,  ALEXANDER ALL COURTS  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME JOHNSON,  ALEXANDER FLORIDA  PAGE: 1CIVIL PARTY SEARCH",1,$0.10,$0.10,$0
00PCLNAME GIANT FILED 06/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CACI FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SHOLD FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AHOLD FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME CGI FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME ACACIA FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME AMERITAS FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME SIX3 FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME GANNETT FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCLNAME USA TODAY FILED 09/01/2014 TO 09/24/2014 ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH,1,$0.10,$0.10,$0
00PCL14-2006 MARYLAND  PAGE: 1CIVIL CASE SEARCH,2,$0.10,$0.20,$0.10
00PCL2011-902422 ALABAMA  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL11-000663 ALABAMA  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCLCASE TITLE JOOSE ALABAMA  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL12-10685 ALL COURTS  PAGE: 1BANKRUPTCY CASE SEARCH,2,$0.10,$0.20,$0.10
"00PCLNAME DEMAS,  MICHAEL ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME DEMAS,  HELENE ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
"00PCLNAME YOUNG,  SYLVIA MARYLAND  PAGE: 1CIVIL PARTY SEARCH",3,$0.10,$0.30,$0.20
00PCL05-CV-758 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-0740 ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-0740 ALL COURTS  PAGE: 1  COURT TYPE: CVALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-0740 TEXAS  PAGE: 1ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
00PCL13-0740 TEXAS  PAGE: 2ALL COURT TYPES CASE SEARCH,1,$0.10,$0.10,$0
"00PCLCASE TITLE HOME OF TEXAS,  INC. ALL COURTS  PAGE: 1ALL COURT TYPES CASE SEARCH",1,$0.10,$0.10,$0
"00PCLNAME HOME OF TEXAS,  INC. ALL COURTS  PAGE: 1ALL COURT TYPES PARTY SEARCH",1,$0.10,$0.10,$0
03CA13-3619CASE SUMMARY,2,$0.10,$0.20,$0.10
03CA13-3619DOCKET REPORT (FILTERED),1,$0.20,$0.20,$0
"03CACASE: 13-3619,  DOCUMENT: 003111668929PDF DOCUMENT",1,$0.20,$0.20,$0
03CA99-1898CASE SUMMARY,1,$0.10,$0.10,$0
03CACASE: 13-3619CASE SELECTION TABLE,1,$0.10,$0.10,$0
03CA13-3619CASE QUERY,1,$0.10,$0.10,$0
04CA13-1473CASE SUMMARY,11,$0.10,$1.10,$1
"04CACASE: 13-1473,  DOCUMENT: 74PDF DOCUMENT",1,$0.20,$0.20,$0
"04CACASE: 13-1473,  DOCUMENT: 66PDF DOCUMENT",1,$0.30,$0.30,$0
"04CACASE: 13-1473,  DOCUMENT: 71-2PDF DOCUMENT",3,$2.80,$8.40,$5.60
"04CACASE: 13-1473,  DOCUMENT: 71-1PDF DOCUMENT",3,$0.70,$2.10,$1.40
04CA13-1473DOCKET REPORT (FILTERED),5,$0.60,$3,$2.40
"04CACASE: 13-1473,  DOCUMENT: 67-2PDF DOCUMENT",1,$2.50,$2.50,$0
"04CACASE: 13-1473,  DOCUMENT: 67-1PDF DOCUMENT",1,$0.60,$0.60,$0
04CA14-1712CASE SUMMARY,2,$0.10,$0.20,$0.10
04CA14-1712DOCKET REPORT (FILTERED),2,$0.10,$0.20,$0.10
"04CACASE: 13-1473,  DOCUMENT: 78PDF DOCUMENT",1,$0.70,$0.70,$0
"04CACASE: 13-1473,  DOCUMENT: 84PDF DOCUMENT",1,$0.20,$0.20,$0
"04CACASE: 13-1473,  DOCUMENT: 85PDF DOCUMENT",4,$1.10,$4.40,$3.30
04CA09-1913CASE SUMMARY,1,$0.10,$0.10,$0
"04CACASE: 13-1473,  DOCUMENT: 97PDF DOCUMENT",1,$0.10,$0.10,$0
"04CACASE: 13-1473,  DOCUMENT: 94PDF DOCUMENT",1,$0.20,$0.20,$0
"04CACASE: 13-1473,  DOCUMENT: 99PDF DOCUMENT",1,$0.10,$0.10,$0
"04CACASE: 13-1473,  DOCUMENT: 87PDF DOCUMENT",3,$3,$9,$6
"04CACASE: 13-1473,  DOCUMENT: 28PDF DOCUMENT",3,$3,$9,$6
"04CACASE: 13-1473,  DOCUMENT: 34PDF DOCUMENT",3,$2.20,$6.60,$4.40
"04CACASE: 13-1473,  DOCUMENT: 43PDF DOCUMENT",3,$1.80,$5.40,$3.60
"04CACASE: 13-1473,  DOCUMENT: 58PDF DOCUMENT",3,$2.10,$6.30,$4.20
04CACASE: 13-1473DOCKET SUMMARY,2,$0.10,$0.20,$0.10
"04CACASE: 13-1473,  DOCUMENT: 32PDF DOCUMENT",3,$3,$9,$6
"04CACASE: 13-1473,  DOCUMENT: 95PDF DOCUMENT",1,$2.50,$2.50,$0
"04CACASE: 13-1473,  DOCUMENT: 96PDF DOCUMENT",1,$2.80,$2.80,$0
07CA12-1152CASE SUMMARY,1,$0.10,$0.10,$0
08CA05-1617CASE SUMMARY,1,$0.10,$0.10,$0
09CA12-57253CASE SUMMARY,1,$0.10,$0.10,$0
09CA14-72765CASE SUMMARY,1,$0.10,$0.10,$0
11CANAME: FASMAN (ATY)CASE SELECTION TABLE,1,$0.10,$0.10,$0
11CANAME: CNN (PTY)CASE SELECTION TABLE,1,$0.10,$0.10,$0
11CANAME: NATIONAL LABOR RELATIONS BOARD (PTY)CASE SELECTION TABLE,1,$0.20,$0.20,$0
1DCCA14-7093CASE SUMMARY,2,$0.10,$0.20,$0.10
"1DCCACASE: 14-7093,  DOCUMENT: 01217606893PDF DOCUMENT",1,$0.80,$0.80,$0
1DCCA14-7108CASE SUMMARY,1,$0.10,$0.10,$0
1DCCA14-7108DOCKET REPORT (FULL),1,$0.10,$0.10,$0
1DCCA14-7115CASE SUMMARY,1,$0.10,$0.10,$0
1DCCA14-7115DOCKET REPORT (FULL),1,$0.10,$0.10,$0
1DCCACASE: 14-5133CASE SELECTION TABLE,1,$0.10,$0.10,$0
1DCCA14-5133CASE SUMMARY,1,$0.10,$0.10,$0
"1DCCACASE: 14-5133,  DOCUMENT: 01217607169PDF DOCUMENT",1,$0.20,$0.20,$0
"1DCCACASE: 14-5133,  DOCUMENT: 01217616849PDF DOCUMENT",1,$0.10,$0.10,$0
"1DCCACASE: 14-5133,  DOCUMENT: 01217624918PDF DOCUMENT",1,$0.90,$0.90,$0
1DCCAFILED: 09/17/2014 - 09/18/2014CASE SELECTION TABLE,1,$0.10,$0.10,$0
1DCCA14-1181CASE QUERY,1,$0.10,$0.10,$0
ALMDC2:14-CV-00616-MEF-CSCDOCKET REPORT,1,$0.20,$0.20,$0
CACDC5:14-CV-01313-SJO-AGR   END DATE: 7/8/20DOCKET REPORT,1,$0.20,$0.20,$0
CACDC8:10-CV-00148-DOC-RNB   END DATE: 7/10/2DOCKET REPORT,1,$0.50,$0.50,$0
CACDC2:06-CV-06537-AHM-CT   END DATE: 7/10/20DOCKET REPORT,1,$0.30,$0.30,$0
CACDCNOS: 446     LAST NAME: NEWPORT   TYPE:SEARCH,1,$0.10,$0.10,$0
CACDCNOS: 0     LAST NAME: NEWPORT   TYPE: ATSEARCH,1,$0.10,$0.10,$0
CACDCNOS: 446     LAST NAME: NORDSTROMSEARCH,1,$0.10,$0.10,$0
CACDCNOS: 446     LAST NAME: FERRELL   TYPE:SEARCH,1,$0.20,$0.20,$0
CACDC8:12-CV-01071-JLS-MLG   END DATE: 7/10/2DOCKET REPORT,1,$0.70,$0.70,$0
CACDC8:05-CV-00443-CJC-RNB   END DATE: 7/10/2DOCKET REPORT,1,$0.50,$0.50,$0
CACDC5:13-CV-01052-JGB-OP   END DATE: 7/10/20DOCKET REPORT,1,$0.30,$0.30,$0
CACDCNOS: 446     LAST NAME: JO-ANN   TYPE: ASEARCH,1,$0.10,$0.10,$0
CAEDC1:14-CV-01416---GSADOCKET REPORT,1,$0.20,$0.20,$0
CAFC14-1546CASE SUMMARY,1,$0.10,$0.10,$0
CAFCCASE: 13-5004CASE SELECTION TABLE,1,$0.10,$0.10,$0
CAFC13-5004CASE SUMMARY,1,$0.10,$0.10,$0
CAFC14-5143CASE SUMMARY,1,$0.10,$0.10,$0
CANDC3:14-CV-02621-EMCDOCKET REPORT,1,$0.20,$0.20,$0
CANDC3:14-CV-03333-MEJDOCKET REPORT,1,$0.40,$0.40,$0
COBK14-01215-HRT FIL OR ENT: FILED   DOC FROM: 0 DOC TO: 99999999 TERM: INCLUDED    FORMAT: HTML PAGE COUNTS FOR DOCUMENTS: INCLUDEDDOCKET REPORT,1,$0.30,$0.30,$0
CODC1:14-CV-00286-RPMDOCKET REPORT,1,$0.20,$0.20,$0
CTDC3:14-CV-00956-JBADOCKET REPORT,2,$0.10,$0.20,$0.10
CTDC3:14-CV-01158-AWTDOCKET REPORT,1,$0.10,$0.10,$0
CTDC3:14-CV-01158-AWT DOCUMENT 1-0IMAGE1-0,1,$0.60,$0.60,$0
DCBK11-00459ATTORNEY LIST,1,$0.20,$0.20,$0
DCBK11-00459 FIL OR ENT: FILED   DOC FROM: 0DOCKET REPORT,1,$1.20,$1.20,$0
DCBK11-00459                       DOCUMENTIMAGE28-0,1,$0.20,$0.20,$0
DCBK13-00570 FIL OR ENT: FILED   DOC FROM: 0 DOC TO: 99999999     FORMAT: HTML PAGE COUNTS FOR DOCUMENTS: INCLUDEDDOCKET REPORT,2,$1,$2,$1
DCBK13-00570                       DOCUMENT 100-0IMAGE100-0,1,$0.20,$0.20,$0
DCBK13-00570                       DOCUMENT 104-0IMAGE104-0,1,$0.20,$0.20,$0
DCBK13-00570                       DOCUMENT 103-0AUDIO:103-0,1,$2.40,$2.40,$0
DCBK13-00570                       DOCUMENT 26-1IMAGE26-1,1,$0.70,$0.70,$0
DCBK13-00570                       DOCUMENT 26-2IMAGE26-2,1,$3,$3,$0
DCBK13-00570                       DOCUMENT 26-4IMAGE26-4,1,$0.60,$0.60,$0
DCBK13-00570                       DOCUMENT 26-5IMAGE26-5,1,$0.20,$0.20,$0
DCBK13-00570                       DOCUMENT 26-6IMAGE26-6,1,$1.40,$1.40,$0
DCBK13-00570                       DOCUMENT 34-0IMAGE34-0,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSCDOCKET REPORT,4,$0.20,$0.80,$0.60
DCDC1:14-CV-00780-TSC DOCUMENT 1-1IMAGE1-1,1,$0.70,$0.70,$0
DCDC1:14-CV-00780-TSC DOCUMENT 1-0IMAGE1-0,1,$1.70,$1.70,$0
DCDC1:14-CV-00780-TSC DOCUMENT 1-2IMAGE1-2,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 1-4IMAGE1-4,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 1-3IMAGE1-3,1,$0.20,$0.20,$0
DCDC1:14-CV-01074-RMCDOCKET REPORT,7,$0.10,$0.70,$0.60
DCDC1:14-MC-00662-UNADOCKET REPORT,2,$0.10,$0.20,$0.10
DCDC1:14-MC-00662-UNA DOCUMENT 1-0IMAGE1-0,1,$0.70,$0.70,$0
DCDC1:14-CV-01122-RCDOCKET REPORT,3,$0.20,$0.60,$0.40
DCDC1:14-CV-01122-RC DOCUMENT 1-0IMAGE1-0,2,$2.70,$5.40,$2.70
DCDC1:14-CV-01074-RMC DOCUMENT 1-0IMAGE1-0,1,$1.10,$1.10,$0
DCDC1:14-CV-01116-RMCDOCKET REPORT,1,$0.30,$0.30,$0
DCDC1:14-CV-00780-TSC DOCUMENT 7-0IMAGE7-0,1,$0.30,$0.30,$0
DCDC1:14-CV-00780-TSC DOCUMENT 2-1IMAGE2-1,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 2-2IMAGE2-2,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 2-0IMAGE2-0,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 2-3IMAGE2-3,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 3-0IMAGE3-0,1,$0.90,$0.90,$0
DCDC1:14-CV-00780-TSC DOCUMENT 4-1IMAGE4-1,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 4-0IMAGE4-0,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 4-2IMAGE4-2,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 5-0IMAGE5-0,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 5-2IMAGE5-2,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 5-1IMAGE5-1,1,$0.20,$0.20,$0
DCDC1:14-CV-00780-TSC DOCUMENT 6-0IMAGE6-0,1,$0.30,$0.30,$0
DCDC1:13-CV-01792-RC DOCUMENT 17-0IMAGE17-0,2,$0.10,$0.20,$0.10
DCDC1:13-CV-01792-RC DOCUMENT 18-0IMAGE18-0,2,$0.10,$0.20,$0.10
DCDC1:13-CV-01792-RCDOCKET REPORT,1,$0.30,$0.30,$0
DCDC1:13-CV-01792-RC DOCUMENT 16-0IMAGE16-0,1,$0.20,$0.20,$0
DCDC1:14-CV-01261-UNADOCKET REPORT,3,$0.10,$0.30,$0.20
DCDC1:14-CV-01261-UNA DOCUMENT 1-1IMAGE1-1,1,$0.20,$0.20,$0
DCDC1:14-CV-01261-UNA DOCUMENT 1-0IMAGE1-0,1,$3,$3,$0
DCDC1:09-CV-01139-JRDOCKET REPORT,1,$0.20,$0.20,$0
DCDC1:09-CV-01139-JR DOCUMENT 10-0IMAGE10-0,1,$0.30,$0.30,$0
DCDC1:09-CV-01139-JR DOCUMENT 5-0IMAGE5-0,1,$0.20,$0.20,$0
DCDC1:09-CV-01139-JR DOCUMENT 12-0IMAGE12-0,1,$0.10,$0.10,$0
DCDC1:09-CV-01139-JR DOCUMENT 13-0IMAGE13-0,1,$0.30,$0.30,$0
DCDC1:09-CV-01139-JR DOCUMENT 1-0IMAGE1-0,1,$3,$3,$0
DCDC1:09-CV-01139-JR DOCUMENT 1-1IMAGE1-1,1,$0.20,$0.20,$0
DCDC1:14-CV-01246-RCDOCKET REPORT,2,$0.20,$0.40,$0.20
DCDC1:14-CV-00418-CKKDOCKET REPORT,2,$1.10,$2.20,$1.10
DCDC1:14-CV-00418-CKK DOCUMENT 89-0IMAGE89-0,1,$0.30,$0.30,$0
DCDC1:14-CV-00418-CKK DOCUMENT 90-0IMAGE90-0,1,$0.40,$0.40,$0
DCDC1:14-CV-00050-BAHDOCKET REPORT,1,$0.30,$0.30,$0
DCDC1:14-CV-00050-BAHDEADLINE/HEARINGS,1,$0.10,$0.10,$0
DCDC1:14-CV-00780-TSC DOCUMENT 8-0IMAGE8-0,1,$0.10,$0.10,$0
DCDC1:14-CV-01074-RMC DOCUMENT 4-0IMAGE4-0,1,$1.10,$1.10,$0
DCDC1:14-CV-01074-RMC DOCUMENT 6-0IMAGE6-0,1,$0.70,$0.70,$0
DCDCFILED FROM: 1/1/2013 FILED TO: 1/1/2014   LAST NAME: BUILDING TRADESSEARCH,1,$0.10,$0.10,$0
DCDCFILED FROM: 1/1/2013 FILED TO: 1/1/2014   LAST NAME: WAGESEARCH,1,$0.10,$0.10,$0
DCDCLAST NAME: CCDC OFFICE LLCSEARCH,1,$0.10,$0.10,$0
DCDC1:13-CV-00737-ABJDOCKET REPORT,1,$0.30,$0.30,$0
DCDC1:13-CV-00730-ABJDOCKET REPORT,1,$1.30,$1.30,$0
DCDC1:10-CV-02058-RBW DOCUMENT 56-0IMAGE56-0,1,$0.50,$0.50,$0
DEDC1:14-CV-01026-RGA START DATE: 1/1/1970  END DATE: 8/18/2014DOCKET REPORT,1,$0.10,$0.10,$0
FLMBK3:12-BK-04524-JAF FIL OR ENT: FILED   DOC FROM: 0 DOC TO: 99999999 TERM: INCLUDED  HEADERS: INCLUDED  FORMAT: HTML PAGE COUNTS FOR DOCUMENTS: INCLUDEDDOCKET REPORT,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 29-1IMAGE29-1,1,$0.30,$0.30,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 29-2IMAGE29-2,1,$2.90,$2.90,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 29-3IMAGE29-3,1,$2.90,$2.90,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 29-4IMAGE29-4,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 29-20IMAGE29-20,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 6-0IMAGE6-0,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 12-0IMAGE12-0,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 129-0IMAGE129-0,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 136-0IMAGE136-0,1,$3,$3,$0
FLMBK3:12-BK-04524-JAF              DOCUMENT 243-0IMAGE243-0,1,$3,$3,$0
FLMDC2:13-CV-00891-SPC-CMDOCKET REPORT,6,$0.50,$3,$2.50
FLMDC6:14-CV-00661-GAP-KRSDOCKET REPORT,1,$0.50,$0.50,$0
FLMDC6:14-CV-00661-GAP-KRS DOCUMENT 27-0IMAGE27-0,1,$0.40,$0.40,$0
FLMDC2:13-CV-00891-SPC-CM DOCUMENT 46-0IMAGE46-0,2,$0.20,$0.40,$0.20
FLMDC2:13-CV-00891-SPC-CM DOCUMENT 44-0IMAGE44-0,1,$0.20,$0.20,$0
FLMDC2:13-CV-00891-SPC-CM DOCUMENT 47-0IMAGE47-0,1,$0.30,$0.30,$0
FLSBKLNAME: JOHNSON FNAME: ALEXANDERSEARCH,1,$0.10,$0.10,$0
FLSDC1:14-CV-20438-BBDOCKET REPORT,5,$0.50,$2.50,$2
FLSDC0:14-CV-61166-WJZDOCKET REPORT,6,$0.10,$0.60,$0.50
FLSDC0:14-CV-61166-WJZ DOCUMENT 1-2IMAGE1-2,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 1-1IMAGE1-1,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 1-0IMAGE1-0,1,$1.20,$1.20,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 3-0IMAGE3-0,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 4-0IMAGE4-0,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 5-0IMAGE5-0,1,$0.30,$0.30,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 5-1IMAGE5-1,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 7-0IMAGE7-0,1,$0.90,$0.90,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 8-0IMAGE8-0,1,$0.30,$0.30,$0
FLSDC1:14-CV-20435-XXXXDOCKET REPORT,3,$0.10,$0.30,$0.20
FLSDC1:14-CV-20438-BB DOCUMENT 41-0IMAGE41-0,1,$0.20,$0.20,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 10-0IMAGE10-0,1,$0.60,$0.60,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 14-0IMAGE14-0,1,$0.20,$0.20,$0
FLSDC0:14-CV-61166-WJZHISTORY/DOCUMENTS,1,$0.10,$0.10,$0
FLSDC0:14-CV-61166-WJZ DOCUMENT 15-1IMAGE15-1,2,$0.10,$0.20,$0.10
FLSDC0:14-CV-61166-WJZ DOCUMENT 15-0IMAGE15-0,2,$0.40,$0.80,$0.40
FLSDC0:14-CV-61166-WJZ DOCUMENT 16-0IMAGE16-0,1,$0.20,$0.20,$0
ILNDC1:14-CV-05194DOCKET REPORT,1,$0.40,$0.40,$0
ILNDC1:14-CV-05194 DOCUMENT 1-0IMAGE1-0,1,$2.60,$2.60,$0
ILNDC1:14-CV-06015DOCKET REPORT,1,$0.10,$0.10,$0
ILNDC1:14-CV-06015 DOCUMENT 1-0IMAGE1-0,1,$0.80,$0.80,$0
ILSDC3:14-CV-00920-MJR-SCWDOCKET REPORT,2,$0.20,$0.40,$0.20
ILSDC3:14-CV-00920-MJR-SCW DOCUMENT 2-0IMAGE2-0,1,$0.40,$0.40,$0
ILSDC3:14-CV-00920-MJR-SCW DOCUMENT 2-1IMAGE2-1,1,$3,$3,$0
ILSDC3:14-CV-00920-MJR-SCW DOCUMENT 5-0IMAGE5-0,1,$0.20,$0.20,$0
LAEDC2:14-CV-00367-LMA-KWRDOCKET REPORT,12,$0.10,$1.20,$1.10
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 8-0IMAGE8-0,1,$0.10,$0.10,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 9-0IMAGE9-0,1,$0.20,$0.20,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 10-0IMAGE10-0,1,$0.10,$0.10,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 11-1IMAGE11-1,1,$1.10,$1.10,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 11-2IMAGE11-2,1,$0.20,$0.20,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 11-3IMAGE11-3,1,$0.70,$0.70,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 11-4IMAGE11-4,1,$0.20,$0.20,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 11-5IMAGE11-5,1,$1.10,$1.10,$0
LAEDC2:14-CV-00367-LMA-KWR DOCUMENT 12-0IMAGE12-0,1,$0.20,$0.20,$0
MADC1:14-CV-13112-FDSDOCKET REPORT,2,$0.10,$0.20,$0.10
MDBK14-00333 FIL OR ENT: FILED FROM: 1/1/199DOCKET REPORT,1,$0.40,$0.40,$0
MDBKLNAME: WESTVIEW VILLAGESEARCH,1,$0.10,$0.10,$0
MDBKLNAME: WESTVIEWSEARCH,1,$0.40,$0.40,$0
MDBK14-00531 FIL OR ENT: FILED FROM: 1/1/1990 TO: 9/9/2014 DOC FROM: 0 DOC TO: 99999999 TERM: INCLUDED    FORMAT: HTML PAGE COUNTS FOR DOCUMENTS: INCLUDEDDOCKET REPORT,1,$0.20,$0.20,$0
MDDC8:14-CV-02006-PWGDOCKET REPORT,31,$0.10,$3.10,$3
MDDC8:14-CV-01762-RWTDOCKET REPORT,1,$0.20,$0.20,$0
MDDC8:14-CV-01722-MABDOCKET REPORT,4,$0.20,$0.80,$0.60
MDDC8:14-CV-01722-MAB DOCUMENT 14-0IMAGE14-0,1,$0.80,$0.80,$0
MDDC1:14-CV-02075-MJGDOCKET REPORT,5,$0.10,$0.50,$0.40
MDDC1:14-CV-02075-MJG DOCUMENT 3-0IMAGE3-0,1,$0.20,$0.20,$0
MDDC1:14-CV-02075-MJG DOCUMENT 4-0IMAGE4-0,1,$0.20,$0.20,$0
MDDC8:00-CV-02773-PJMDOCKET REPORT,1,$0.50,$0.50,$0
MDDC1:13-CV-00779-GLRDOCKET REPORT,1,$0.50,$0.50,$0
MDDC1:13-CV-00779-GLR DOCUMENT 16-1IMAGE16-1,1,$0.30,$0.30,$0
MDDC1:13-CV-00779-GLR DOCUMENT 16-0IMAGE16-0,1,$1,$1,$0
MDDC1:13-CV-00779-GLR DOCUMENT 16-2IMAGE16-2,1,$0.30,$0.30,$0
MDDC1:13-CV-00779-GLR DOCUMENT 16-3IMAGE16-3,1,$1.80,$1.80,$0
MDDC1:13-CV-02446-MJG DOCUMENT 31-0IMAGE31-0,2,$0.80,$1.60,$0.80
MDDC1:13-CV-02446-MJGDOCKET REPORT,4,$0.30,$1.20,$0.90
MDDC1:13-CV-02446-MJG DOCUMENT 20-0IMAGE20-0,1,$2.60,$2.60,$0
